OID_,Value,DepoZone,EUcropClas,SlopeClass,DepoZones,CropShort,SlopeTxt,lucode,Ndeposition,NUE,PUE,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
174,175,6,4,5,5.001-6 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,175,5.488534927,0.56,0.61,2.414955368,0.311944127,200,0.877414405,0,0.311944127,200
175,176,7,1,2,6.001-7 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,176,6.494382858,0.62,0.71,2.467865486,0.71527493,200,0.640845835,0,0.71527493,200
176,177,7,1,1,6.001-7 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,177,6.480891705,0.64,0.78,2.333121014,0.647936106,200,0.937605381,0,0.647936106,200
177,178,7,1,4,6.001-7 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,178,6.473654747,0.57,0.65,2.783671541,0.899999976,200,0.003599964,0,0.899999976,200
178,179,7,1,3,6.001-7 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,179,6.493823051,0.6,0.68,2.59752922,0.863016069,200,0.033981778,0,0.863016069,200
179,180,7,1,5,6.001-7 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,180,6.459828377,0.51,0.6,3.165315905,0.899999976,200,0.023062078,0,0.899999976,200
180,181,7,2,5,6.001-7 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,181,6.454347134,0.35,0.58,4.195325637,0,200,0.924471259,0,0,200
181,182,7,2,1,6.001-7 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,182,6.487418652,0.69,0.81,2.011099782,0.208574176,200,0.8454656,0,0.208574176,200
182,183,7,2,4,6.001-7 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,183,6.454791546,0.45,0.6,3.55013535,0.35323903,200,0.833614111,0,0.35323903,200
183,184,7,2,2,6.001-7 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,184,6.457812309,0.63,0.72,2.389390554,0.268726498,200,0.687532961,0,0.268726498,200
184,185,7,2,3,6.001-7 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,185,6.469183922,0.58,0.65,2.717057247,0.339962006,200,0.544582605,0,0.339962006,200
185,186,7,5,1,6.001-7 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,186,6.426849365,0.67,0.98,2.12086029,0.00431243,200,0.883121014,0,0.00431243,200
186,187,6,3,5,5.001-6 kg ha,Cropland,> mean + 3STD = 26.558-89.281 degrees,187,5.443468094,0.61,0.62,2.122952557,0.117152616,200,0.100073405,0,0.117152616,200
187,188,7,5,2,6.001-7 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,188,6.423109055,0.66,0.97,2.183857079,0.149551108,200,0.776452005,0,0.149551108,200
188,189,7,5,3,6.001-7 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,189,6.42973423,0.66,0.96,2.186109638,0.142705247,200,0.871680617,0,0.142705247,200
189,190,5,4,5,6.001-6 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,190,4.496672153,0.57,0.61,1.933569026,0.437363863,200,0.82238242,0,0.437363863,200
190,191,6,6,1,5.001-6 kg ha,Improved Grasslands,<= 1/2 STD = < 2.53 degrees,191,5.569136143,0.66,0.98,1.893506289,0.455534607,200,0.641545594,0,0.455534607,200
191,192,6,6,3,5.001-6 kg ha,Improved Grasslands,<= mean + 1 STD = 5.061-12.225 degrees,192,5.56091547,0.61,0.7,2.168757033,0.899999976,200,0.111145619,0,0.899999976,200
192,193,6,6,2,5.001-6 kg ha,Improved Grasslands,<= mean = 2.531- 5.06 degrees,193,5.552125931,0.64,0.79,1.998765335,0.779486895,200,0.345067322,0,0.779486895,200
193,194,6,6,4,5.001-6 kg ha,Improved Grasslands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,194,5.543917179,0.58,0.66,2.328445215,0.899999976,200,0.036586059,0,0.899999976,200
194,195,7,4,1,6.001-7 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,195,6.447132587,0.63,0.82,2.385439057,0.060562,200,0.845332325,0,0.060562,200
195,196,7,4,2,6.001-7 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,196,6.440662861,0.62,0.75,2.447451887,0.079474963,200,0.741597652,0,0.079474963,200
196,197,7,4,3,6.001-7 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,197,6.487835407,0.6,0.7,2.595134163,0.126646146,200,0.669465184,0,0.126646146,200
197,198,7,3,1,6.001-7 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,198,6.434829235,0.63,0.83,2.380886817,0.020528626,200,0.182084426,0,0.020528626,200
198,199,7,3,3,6.001-7 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,199,6.485835075,0.62,0.76,2.464617329,0.104568735,200,0.01403784,0,0.104568735,200
199,200,7,3,2,6.001-7 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,200,6.451319695,0.62,0.77,2.451501484,0.047626015,200,0.04432115,0,0.047626015,200
200,201,7,5,4,6.001-7 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,201,6.459039688,0.65,0.79,2.260663891,0.193702176,200,0.980903625,0,0.193702176,200
201,202,8,1,3,7.001-8 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,202,7.480708599,0.6,0.75,2.99228344,0.899999976,200,0.031534623,0,0.899999976,200
202,203,8,1,4,7.001-8 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,203,7.468369484,0.58,0.69,3.136715183,0.899999976,200,0.005266388,0,0.899999976,200
203,204,8,1,1,7.001-8 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,204,7.510592461,0.64,0.88,2.703813286,0.840974629,200,0.951497555,0,0.840974629,200
204,205,8,1,2,7.001-8 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,205,7.501774788,0.63,0.81,2.775656672,0.899999976,200,0.747334182,0,0.899999976,200
205,206,8,5,1,7.001-8 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,206,7.495690346,0.65,1.01,2.623491621,0.009507954,200,0.852192879,0,0.009507954,200
206,207,8,5,2,7.001-8 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,207,7.484303951,0.63,1,2.769192462,0.2162164,200,0.890104294,0,0.2162164,200
207,208,8,5,3,7.001-8 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,208,7.451202393,0.63,1,2.756944885,0.213449359,200,0.96448946,0,0.213449359,200
208,209,8,2,1,7.001-8 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,209,7.491465092,0.68,0.91,2.397268829,0.360769212,200,0.951953411,0,0.360769212,200
209,210,7,3,4,6.001-7 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,210,6.46618557,0.6,0.72,2.586474228,0.227462798,200,0.008980973,0,0.227462798,200
210,211,8,4,3,7.001-8 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,211,7.468849659,0.6,0.77,2.987539864,0.207968712,200,0.723754138,0,0.207968712,200
211,212,8,4,2,7.001-8 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,212,7.490481853,0.61,0.83,2.921287923,0.118518844,200,0.841899306,0,0.118518844,200
212,213,7,4,4,6.001-7 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,213,6.486901283,0.57,0.64,2.789367552,0.254143924,200,0.724303126,0,0.254143924,200
213,214,7,5,5,6.001-7 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,214,6.44176054,0.62,0.7,2.447869005,0.335720956,200,1,0,0.335720956,200
214,215,8,2,3,7.001-8 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,215,7.444639206,0.62,0.69,2.828962898,0.599744797,200,0.79191035,0,0.599744797,200
215,216,8,2,2,7.001-8 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,216,7.46604538,0.66,0.78,2.538455429,0.495784223,200,0.886984289,0,0.495784223,200
216,217,8,2,4,7.001-8 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,217,7.435456753,0.44,0.64,4.163855782,0.539197385,200,0.888120949,0,0.539197385,200
